"subid","expt","age_group","trial_type","t.crit","item","correct","subtrial","targetAtOnset","t.crit.binned"
1,1,"3","cd",0.392,"d",TRUE,"1_cd_d","0","0.40"
1,1,"3","cd",0.392,"d",TRUE,"1_cd_d","0","0.40"
1,1,"3","cs",0.347,"ban",TRUE,"1_cs_ban","0","0.33"
1,1,"3","cs",0.347,"ban",TRUE,"1_cs_ban","0","0.33"
1,1,"3","cs",0.406,"bic",TRUE,"1_cs_bic","0","0.40"
1,1,"3","cs",0.406,"bic",TRUE,"1_cs_bic","0","0.40"
1,1,"3","cs",0.009,"car",TRUE,"1_cs_car","0","0.00"
1,1,"3","cs",0.009,"car",TRUE,"1_cs_car","0","0.00"
1,1,"3","cs",0.108,"o",TRUE,"1_cs_o","0","0.10"
1,1,"3","cs",0.108,"o",TRUE,"1_cs_o","0","0.10"
1,1,"3","cs",0.083,"tb",TRUE,"1_cs_tb","0","0.07"
1,1,"3","cs",0.083,"tb",TRUE,"1_cs_tb","0","0.07"
1,1,"3","inf",0.695,"car",TRUE,"1_inf_car","0","0.70"
1,1,"3","inf",0.695,"car",TRUE,"1_inf_car","0","0.70"
1,1,"3","inf",1.165,"carrot",TRUE,"1_inf_carrot","0","1.17"
1,1,"3","inf",1.165,"carrot",TRUE,"1_inf_carrot","0","1.17"
10,1,"adult","cd",0.435,"ban",TRUE,"10_cd_ban","0","0.43"
10,1,"adult","cd",0.435,"ban",TRUE,"10_cd_ban","0","0.43"
10,1,"adult","cd",0.481,"bic",TRUE,"10_cd_bic","0","0.47"
10,1,"adult","cd",0.481,"bic",TRUE,"10_cd_bic","0","0.47"
10,1,"adult","cs",0.298,"ap",TRUE,"10_cs_ap","0","0.30"
10,1,"adult","cs",0.298,"ap",TRUE,"10_cs_ap","0","0.30"
10,1,"adult","cs",0.198,"bal",TRUE,"10_cs_bal","0","0.20"
10,1,"adult","cs",0.198,"bal",TRUE,"10_cs_bal","0","0.20"
10,1,"adult","cs",0.028,"d",TRUE,"10_cs_d","0","0.03"
10,1,"adult","cs",0.028,"d",TRUE,"10_cs_d","0","0.03"
10,1,"adult","cs",0.576,"f",TRUE,"10_cs_f","0","0.57"
10,1,"adult","cs",0.576,"f",TRUE,"10_cs_f","0","0.57"
10,1,"adult","inf",0.263,"cat",TRUE,"10_inf_cat","0","0.27"
10,1,"adult","inf",0.263,"cat",TRUE,"10_inf_cat","0","0.27"
10,1,"adult","inf",0.434,"tr",TRUE,"10_inf_tr","0","0.43"
10,1,"adult","inf",0.434,"tr",TRUE,"10_inf_tr","0","0.43"
